,param_name,biome,criteria,rank,variable,measure
859,frac_sat_soil_dsl_init,Temperate seasonal forest,alb_DifVis_iav_Temperate seasonal forest,5,alb_DifVis,iav
860,rholvis,Woodland/shrubland,alb_DifVis_mean_Woodland/shrubland,1,alb_DifVis,mean
861,rhosvis,Woodland/shrubland,alb_DifVis_mean_Woodland/shrubland,2,alb_DifVis,mean
862,medlynintercept,Woodland/shrubland,alb_DifVis_mean_Woodland/shrubland,3,alb_DifVis,mean
863,medlynslope,Woodland/shrubland,alb_DifVis_mean_Woodland/shrubland,4,alb_DifVis,mean
864,frac_sat_soil_dsl_init,Woodland/shrubland,alb_DifVis_mean_Woodland/shrubland,5,alb_DifVis,mean
865,accum_factor,Woodland/shrubland,alb_DifVis_iav_Woodland/shrubland,1,alb_DifVis,iav
866,vcmaxha,Woodland/shrubland,alb_DifVis_iav_Woodland/shrubland,2,alb_DifVis,iav
867,sand_pf,Woodland/shrubland,alb_DifVis_iav_Woodland/shrubland,3,alb_DifVis,iav
868,slatop,Woodland/shrubland,alb_DifVis_iav_Woodland/shrubland,4,alb_DifVis,iav
869,rholvis,Woodland/shrubland,alb_DifVis_iav_Woodland/shrubland,5,alb_DifVis,iav
870,d_max,Temperate grassland/desert,alb_DifVis_mean_Temperate grassland/desert,1,alb_DifVis,mean
871,accum_factor,Temperate grassland/desert,alb_DifVis_mean_Temperate grassland/desert,2,alb_DifVis,mean
872,rhosvis,Temperate grassland/desert,alb_DifVis_mean_Temperate grassland/desert,3,alb_DifVis,mean
873,sand_pf,Temperate grassland/desert,alb_DifVis_mean_Temperate grassland/desert,4,alb_DifVis,mean
874,clay_pf,Temperate grassland/desert,alb_DifVis_mean_Temperate grassland/desert,5,alb_DifVis,mean
875,jmaxb0,Temperate grassland/desert,alb_DifVis_iav_Temperate grassland/desert,1,alb_DifVis,iav
876,zsno,Temperate grassland/desert,alb_DifVis_iav_Temperate grassland/desert,2,alb_DifVis,iav
877,accum_factor,Temperate grassland/desert,alb_DifVis_iav_Temperate grassland/desert,3,alb_DifVis,iav
878,wc2wjb0,Temperate grassland/desert,alb_DifVis_iav_Temperate grassland/desert,4,alb_DifVis,iav
879,xdrdt,Temperate grassland/desert,alb_DifVis_iav_Temperate grassland/desert,5,alb_DifVis,iav
880,snow_canopy_storage_scalar,Boreal forest,alb_DifVis_mean_Boreal forest,1,alb_DifVis,mean
881,tpu25ratio,Boreal forest,alb_DifVis_mean_Boreal forest,2,alb_DifVis,mean
882,snowcan_unload_wind_fact,Boreal forest,alb_DifVis_mean_Boreal forest,3,alb_DifVis,mean
883,jmaxb1,Boreal forest,alb_DifVis_mean_Boreal forest,4,alb_DifVis,mean
884,rholvis,Boreal forest,alb_DifVis_mean_Boreal forest,5,alb_DifVis,mean
885,upplim_destruct_metamorph,Boreal forest,alb_DifVis_iav_Boreal forest,1,alb_DifVis,iav
886,e_ice,Boreal forest,alb_DifVis_iav_Boreal forest,2,alb_DifVis,iav
887,snow_canopy_storage_scalar,Boreal forest,alb_DifVis_iav_Boreal forest,3,alb_DifVis,iav
888,accum_factor,Boreal forest,alb_DifVis_iav_Boreal forest,4,alb_DifVis,iav
889,wc2wjb0,Boreal forest,alb_DifVis_iav_Boreal forest,5,alb_DifVis,iav
890,snow_canopy_storage_scalar,Tundra,alb_DifVis_mean_Tundra,1,alb_DifVis,mean
891,tpu25ratio,Tundra,alb_DifVis_mean_Tundra,2,alb_DifVis,mean
892,jmaxb0,Tundra,alb_DifVis_mean_Tundra,3,alb_DifVis,mean
893,snowcan_unload_wind_fact,Tundra,alb_DifVis_mean_Tundra,4,alb_DifVis,mean
894,FUN_fracfixers,Tundra,alb_DifVis_mean_Tundra,5,alb_DifVis,mean
895,accum_factor,Tundra,alb_DifVis_iav_Tundra,1,alb_DifVis,iav
896,zsno,Tundra,alb_DifVis_iav_Tundra,2,alb_DifVis,iav
897,nstem,Tundra,alb_DifVis_iav_Tundra,3,alb_DifVis,iav
898,fff,Tundra,alb_DifVis_iav_Tundra,4,alb_DifVis,iav
899,upplim_destruct_metamorph,Tundra,alb_DifVis_iav_Tundra,5,alb_DifVis,iav
900,snw_rds_refrz,Ice sheet,alb_DirNIR_mean_Ice sheet,1,alb_DirNIR,mean
901,xdrdt,Ice sheet,alb_DirNIR_mean_Ice sheet,2,alb_DirNIR,mean
902,upplim_destruct_metamorph,Ice sheet,alb_DirNIR_mean_Ice sheet,3,alb_DirNIR,mean
903,zetamaxstable,Ice sheet,alb_DirNIR_mean_Ice sheet,4,alb_DirNIR,mean
904,zsno,Ice sheet,alb_DirNIR_mean_Ice sheet,5,alb_DirNIR,mean
905,snw_rds_refrz,Ice sheet,alb_DirNIR_iav_Ice sheet,1,alb_DirNIR,iav
906,xdrdt,Ice sheet,alb_DirNIR_iav_Ice sheet,2,alb_DirNIR,iav
907,upplim_destruct_metamorph,Ice sheet,alb_DirNIR_iav_Ice sheet,3,alb_DirNIR,iav
908,zsno,Ice sheet,alb_DirNIR_iav_Ice sheet,4,alb_DirNIR,iav
909,zetamaxstable,Ice sheet,alb_DirNIR_iav_Ice sheet,5,alb_DirNIR,iav
910,taulnir,Tropical rain forest,alb_DirNIR_mean_Tropical rain forest,1,alb_DirNIR,mean
911,rholnir,Tropical rain forest,alb_DirNIR_mean_Tropical rain forest,2,alb_DirNIR,mean
912,xl,Tropical rain forest,alb_DirNIR_mean_Tropical rain forest,3,alb_DirNIR,mean
913,kmax,Tropical rain forest,alb_DirNIR_mean_Tropical rain forest,4,alb_DirNIR,mean
914,rhosnir,Tropical rain forest,alb_DirNIR_mean_Tropical rain forest,5,alb_DirNIR,mean
915,taulnir,Tropical rain forest,alb_DirNIR_iav_Tropical rain forest,1,alb_DirNIR,iav
916,rholnir,Tropical rain forest,alb_DirNIR_iav_Tropical rain forest,2,alb_DirNIR,iav
917,rhosnir,Tropical rain forest,alb_DirNIR_iav_Tropical rain forest,3,alb_DirNIR,iav
918,tausnir,Tropical rain forest,alb_DirNIR_iav_Tropical rain forest,4,alb_DirNIR,iav
919,fff,Tropical rain forest,alb_DirNIR_iav_Tropical rain forest,5,alb_DirNIR,iav
920,taulnir,Tropical seasonal forest/savanna,alb_DirNIR_mean_Tropical seasonal forest/savanna,1,alb_DirNIR,mean
921,rholnir,Tropical seasonal forest/savanna,alb_DirNIR_mean_Tropical seasonal forest/savanna,2,alb_DirNIR,mean
922,rhosnir,Tropical seasonal forest/savanna,alb_DirNIR_mean_Tropical seasonal forest/savanna,3,alb_DirNIR,mean
923,xl,Tropical seasonal forest/savanna,alb_DirNIR_mean_Tropical seasonal forest/savanna,4,alb_DirNIR,mean
924,tausnir,Tropical seasonal forest/savanna,alb_DirNIR_mean_Tropical seasonal forest/savanna,5,alb_DirNIR,mean
925,rholnir,Tropical seasonal forest/savanna,alb_DirNIR_iav_Tropical seasonal forest/savanna,1,alb_DirNIR,iav
926,taulnir,Tropical seasonal forest/savanna,alb_DirNIR_iav_Tropical seasonal forest/savanna,2,alb_DirNIR,iav
927,nstem,Tropical seasonal forest/savanna,alb_DirNIR_iav_Tropical seasonal forest/savanna,3,alb_DirNIR,iav
928,kmax,Tropical seasonal forest/savanna,alb_DirNIR_iav_Tropical seasonal forest/savanna,4,alb_DirNIR,iav
929,tpuse_sf,Tropical seasonal forest/savanna,alb_DirNIR_iav_Tropical seasonal forest/savanna,5,alb_DirNIR,iav
930,sand_pf,Subtropical desert,alb_DirNIR_mean_Subtropical desert,1,alb_DirNIR,mean
931,rhosnir,Subtropical desert,alb_DirNIR_mean_Subtropical desert,2,alb_DirNIR,mean
932,clay_pf,Subtropical desert,alb_DirNIR_mean_Subtropical desert,3,alb_DirNIR,mean
933,taulnir,Subtropical desert,alb_DirNIR_mean_Subtropical desert,4,alb_DirNIR,mean
